name,address,image_local_path,lat,lng
Lá Hotel Q10,"62 Ngô Quyền, Phường 5, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lá Hotel Q10.jpg,10.76075889,106.6653594
Saigon Central Hotel - Walking Street,"49a Cô Bắc, TP. Hồ Chí Minh, Việt Nam",images/hotels/Saigon Central Hotel - Walking Street.jpg,10.76514625,106.6950851
New Star Inn Boutique Hotel-Near Bến Thành Market,"214 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",images/hotels/New Star Inn Boutique Hotel-Near Bến Thành Market.jpg,10.77076385,106.6928105
KAS Luxury Hotel,"Đường Bùi Thị Xuân, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/KAS Luxury Hotel.jpg,10.77209549,106.6907059
Ruby Star Hotel- Near Bến Thành Market,"43 Trương Định, Quận 3, TP. Hồ Chí Minh, Việt Nam",images/hotels/Ruby Star Hotel- Near Bến Thành Market.jpg,10.776545,106.6907769
Asian Ruby Hotel & Spa - 122F Bui Thi Xuân Street,"122F – 122F1 Bui Thi Xuan, Pham Ngu Lao, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Asian Ruby Hotel & Spa - 122F Bui Thi Xuân Street.jpg,10.76976122,106.6882799
Vintage Boutique Hotel & Spa,"33 Đường Bùi Thị Xuân, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Vintage Boutique Hotel & Spa.jpg,10.77146451,106.6899909
Boboo Hotel,"101A Phan Xích Long, TP. Hồ Chí Minh, Việt Nam",images/hotels/Boboo Hotel.jpg,10.79865935,106.6878896
Nhà khách Tổng Liên Đoàn - CN TPHCM,"1 Đường Bùi Thị Xuân, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Nhà khách Tổng Liên Đoàn - CN TPHCM.jpg,10.77248623,106.6913105
Luxury Eliana Hotel,"13 Đường Bùi Thị Xuân, Quận 1, 7000 TP. Hồ Chí Minh, Việt Nam",images/hotels/Luxury Eliana Hotel.jpg,10.77201053,106.6907491
LeParc Hotel,"276e Đường Lê Thánh Tôn, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/LeParc Hotel - Ben Thanh Market.jpg,10.77195379,106.6953869
KAS HOTEL,"3A Trương Định, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Bến Thành Market - KAS HOTEL.jpg,10.77609729,106.6914095
Apartment Celadon City Tân Phú,"Đường N4, Quận Tân Phú, TP. Hồ Chí Minh, Việt Nam",images/hotels/Apartment Celadon City Tân Phú - 2 PHÒNG NGỦ.jpg,10.80390395,106.6143545
Căn hộ sân bay Sky Center,"5B Đường Phổ Quang, TP. Hồ Chí Minh, Việt Nam",images/hotels/Căn hộ sân bay Sky Center.jpg,10.80594225,106.6665515
Cubicity Hidden House,"62 Thach Thi Thanh, Tan Dinh, District 1 Cubicity Hidden House, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Cubicity Hidden House.jpg,10.79110485,106.6921872
